\textexclamdown,¡
\ElsevierGlyph{E215},⥽
\Elztfnc,⦀
\ElsevierGlyph{3018},⦅
\Elroang,⦆
\ElsevierGlyph{E291},⦔
\Elzddfnc,⦙
\Angle,⦜
\Elzlpargt,⦠
\ElsevierGlyph{E260},⦵
\ElsevierGlyph{E61B},⦶
\ElzLap,⧊
\Elzdefas,⧋
\LeftTriangleBar,⧏
\RightTriangleBar,⧐
\ElsevierGlyph{E372},⧜
\blacklozenge,⧫
\RuleDelayed,⧴
\Elxuplus,⨄
\ElzThr,⨅
\Elxsqcup,⨆
\ElzInf,⨇
\ElzSup,⨈
\ElzCint,⨍
\clockoint,⨏
\ElsevierGlyph{E395},⨐
\sqrint,⨖
\ElsevierGlyph{E25A},⨥
\ElsevierGlyph{E25B},⨪
\ElsevierGlyph{E25C},⨭
\ElsevierGlyph{E25D},⨮
\ElzTimes,⨯
\ElsevierGlyph{E25E},⨴
\ElsevierGlyph{E259},⨼
\amalg,⨿
\ElzAnd,⩓
\ElzOr,⩔
\ElsevierGlyph{E36E},⩕
\ElOr,⩖
\perspcorrespond,⩞
\Elzminhat,⩟
\stackrel{*}{=},⩮
\Equal,⩵
\leqslant,⩽
\geqslant,⩾
\lessapprox,⪅
\gtrapprox,⪆
\lneq,⪇
\gneq,⪈
\lnapprox,⪉
\gnapprox,⪊
\lesseqqgtr,⪋
\gtreqqless,⪌
\eqslantless,⪕
\eqslantgtr,⪖
\Pisymbol{ppi020}{117},⪝
\Pisymbol{ppi020}{105},⪞
\NestedLessLess,⪡
\NestedGreaterGreater,⪢
\preceq,⪯
\succeq,⪰
\precneqq,⪵
\succneqq,⪶
\precnapprox,⪹
\succnapprox,⪺
\subseteqq,⫅
\supseteqq,⫆
\subsetneqq,⫋
\supsetneqq,⫌
\ElsevierGlyph{E30D},⫫
\Elztdcol,⫶
\ElsevierGlyph{300A},《
\ElsevierGlyph{300B},》
\ElsevierGlyph{3019},〙
\openbracketleft,〚
\openbracketright,〛
